epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.606,1.17278,1.18031,1.08916,0.89052,0.85726,0.92637,0.63435,1.04882,0.6779,1.00778,0.00332326,0.00332326,0.00332326
2,235.643,1.16855,0.80511,1.07106,0.86819,0.84809,0.91249,0.58497,1.1063,0.78615,1.05846,0.00664561,0.00664561,0.00664561
3,345.098,1.27002,0.91605,1.12755,0.82273,0.79187,0.85118,0.50134,1.32087,1.29376,1.16186,0.00995696,0.00995696,0.00995696
4,458.759,1.34235,0.98092,1.16868,0.83809,0.81728,0.86304,0.52134,1.25943,1.06506,1.13481,0.0099505,0.0099505,0.0099505
5,566.234,1.32476,0.9467,1.16749,0.87008,0.79266,0.88711,0.55669,1.1923,0.86982,1.11837,0.009934,0.009934,0.009934
6,677.724,1.29162,0.91364,1.15728,0.89416,0.80844,0.90413,0.56978,1.20555,0.82727,1.12324,0.0099175,0.0099175,0.0099175
7,786.438,1.26522,0.87818,1.14324,0.86186,0.83174,0.89153,0.57371,1.16884,0.81131,1.09533,0.009901,0.009901,0.009901
8,895.483,1.24386,0.85924,1.13283,0.87108,0.83533,0.90677,0.59288,1.13049,0.8559,1.08167,0.0098845,0.0098845,0.0098845
9,1005.11,1.22493,0.83892,1.12615,0.87796,0.81749,0.89348,0.57375,1.18688,0.83822,1.10254,0.009868,0.009868,0.009868
10,1114.53,1.21102,0.81701,1.11779,0.8925,0.85128,0.91749,0.60977,1.12207,0.86903,1.08019,0.0098515,0.0098515,0.0098515
11,1226.51,1.19044,0.81047,1.11704,0.8939,0.8453,0.92077,0.60689,1.12725,0.8254,1.07484,0.009835,0.009835,0.009835
12,1344.68,1.18514,0.78751,1.10925,0.89918,0.84769,0.92009,0.61659,1.08687,0.75892,1.07024,0.0098185,0.0098185,0.0098185
13,1456.46,1.16423,0.77999,1.10032,0.88747,0.84274,0.91487,0.60289,1.13102,0.74948,1.07842,0.009802,0.009802,0.009802
14,1565.37,1.15144,0.77036,1.09439,0.89293,0.86364,0.92514,0.62972,1.08818,0.72603,1.07006,0.0097855,0.0097855,0.0097855
15,3850.71,1.14289,0.75676,1.09188,0.90091,0.85287,0.92371,0.62893,1.09068,0.6853,1.06793,0.009769,0.009769,0.009769
16,3949.95,1.13128,0.74206,1.0808,0.90768,0.8429,0.92522,0.63069,1.08969,0.6976,1.06504,0.0097525,0.0097525,0.0097525
17,4061.24,1.12372,0.73463,1.08181,0.90087,0.8744,0.9391,0.65075,1.04253,0.69512,1.04552,0.009736,0.009736,0.009736
18,4171.73,1.11986,0.73536,1.07648,0.90114,0.87232,0.93459,0.64405,1.04368,0.68838,1.05054,0.0097195,0.0097195,0.0097195
19,4290.98,1.0977,0.72281,1.07719,0.89455,0.86124,0.92868,0.63727,1.0648,0.70123,1.05448,0.009703,0.009703,0.009703
20,4410.87,1.10766,0.72202,1.07491,0.88983,0.8695,0.9319,0.64175,1.0492,0.69815,1.04493,0.0096865,0.0096865,0.0096865
21,4531.02,1.09895,0.71826,1.06923,0.89601,0.8761,0.93563,0.65169,1.03291,0.67727,1.03621,0.00967,0.00967,0.00967
22,4656.57,1.08992,0.70854,1.06465,0.89867,0.8734,0.93933,0.66533,1.02691,0.64694,1.02636,0.0096535,0.0096535,0.0096535
23,4779.15,1.0809,0.70667,1.06588,0.88998,0.88374,0.93954,0.66115,1.03212,0.68448,1.03659,0.009637,0.009637,0.009637
24,4898.22,1.07913,0.70218,1.0625,0.89621,0.86643,0.93443,0.65453,1.01888,0.6506,1.03281,0.0096205,0.0096205,0.0096205
25,5020.51,1.06208,0.69,1.05752,0.89924,0.88602,0.94018,0.66271,1.0058,0.66892,1.0286,0.009604,0.009604,0.009604
26,5141.5,1.06052,0.68825,1.05833,0.91249,0.86889,0.9399,0.6592,1.03161,0.64205,1.0363,0.0095875,0.0095875,0.0095875
27,5272.41,1.05847,0.68165,1.05658,0.90495,0.87959,0.94186,0.67072,0.9991,0.62599,1.03163,0.009571,0.009571,0.009571
28,5405.34,1.05865,0.67976,1.0619,0.90125,0.89153,0.94211,0.6648,1.01675,0.63757,1.03865,0.0095545,0.0095545,0.0095545
29,5526.75,1.05754,0.67162,1.05404,0.90022,0.89211,0.94179,0.66787,1.01755,0.6142,1.03317,0.009538,0.009538,0.009538
30,5644.36,1.04869,0.67175,1.05008,0.91564,0.87002,0.93922,0.66625,1.00243,0.61162,1.03357,0.0095215,0.0095215,0.0095215
31,5763.67,1.04179,0.66925,1.04827,0.90513,0.88637,0.94631,0.67632,1.00021,0.632,1.0299,0.009505,0.009505,0.009505
