epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,226.877,1.08605,1.4747,1.31695,0.93524,0.93265,0.9766,0.73865,0.87889,0.59902,1.32263,0.0033277,0.0033277,0.0033277
2,1406.47,0.85032,0.55058,1.13555,0.94643,0.94916,0.9763,0.78436,0.76296,0.47402,1.1885,0.00659509,0.00659509,0.00659509
3,1850.46,0.8405,0.53588,1.12372,0.93975,0.94593,0.97053,0.7728,0.80641,0.49655,1.21634,0.00979648,0.00979648,0.00979648
4,2206.92,0.83753,0.54407,1.11767,0.9433,0.94695,0.9719,0.79953,0.73544,0.46778,1.10825,0.009703,0.009703,0.009703
5,2677.32,0.82705,0.53363,1.1043,0.94219,0.94288,0.97283,0.80435,0.71103,0.46001,1.07535,0.009604,0.009604,0.009604
6,3024.15,0.81479,0.51778,1.09742,0.93865,0.95272,0.97444,0.80166,0.74369,0.45081,1.09819,0.009505,0.009505,0.009505
7,4035.32,0.80665,0.515,1.09142,0.9316,0.92454,0.97398,0.80017,0.72769,0.45438,1.08418,0.009406,0.009406,0.009406
8,4233.31,0.79563,0.50173,1.08475,0.94302,0.94356,0.97452,0.81245,0.70753,0.4411,1.05852,0.009307,0.009307,0.009307
9,8656.81,0.79412,0.49743,1.08449,0.95268,0.94488,0.97355,0.81213,0.7042,0.42742,1.05511,0.009208,0.009208,0.009208
10,8848.74,0.78458,0.49304,1.07785,0.94906,0.95357,0.97441,0.81045,0.70189,0.4239,1.05807,0.009109,0.009109,0.009109
11,9045.11,0.7796,0.48399,1.07702,0.95048,0.94384,0.97213,0.81634,0.70043,0.42205,1.05299,0.00901,0.00901,0.00901
12,9242.83,0.78285,0.48686,1.07256,0.94445,0.9463,0.97311,0.81937,0.70102,0.43824,1.05148,0.008911,0.008911,0.008911
13,9439.35,0.77262,0.48193,1.07144,0.94793,0.94821,0.97285,0.81354,0.6898,0.42489,1.0398,0.008812,0.008812,0.008812
14,9704.65,0.76788,0.47902,1.07125,0.95464,0.94092,0.97376,0.82108,0.69294,0.41758,1.04167,0.008713,0.008713,0.008713
15,9904.61,0.76532,0.47399,1.06562,0.94947,0.9539,0.97517,0.8171,0.69444,0.41458,1.03634,0.008614,0.008614,0.008614
16,10104.2,0.76373,0.4703,1.06659,0.94854,0.945,0.97361,0.81452,0.70764,0.41951,1.04605,0.008515,0.008515,0.008515
17,10325.1,0.76075,0.46995,1.06403,0.94445,0.95627,0.97491,0.82118,0.69753,0.40873,1.04078,0.008416,0.008416,0.008416
18,10636.9,0.74834,0.46236,1.05607,0.94991,0.95105,0.97554,0.82318,0.69073,0.40766,1.03712,0.008317,0.008317,0.008317
19,10841.8,0.74936,0.46214,1.05965,0.94638,0.94796,0.97271,0.82376,0.67369,0.40457,1.02772,0.008218,0.008218,0.008218
20,11046.5,0.7478,0.46106,1.06067,0.88255,0.94208,0.97287,0.81946,0.6852,0.42131,1.03953,0.008119,0.008119,0.008119
21,11252.2,0.74272,0.45344,1.05346,0.95237,0.9484,0.9738,0.82277,0.68118,0.39896,1.0275,0.00802,0.00802,0.00802
22,11457.3,0.73921,0.45502,1.0517,0.95173,0.94846,0.97444,0.82699,0.67953,0.39959,1.03211,0.007921,0.007921,0.007921
23,11657.6,0.74363,0.45396,1.04854,0.94923,0.95153,0.97263,0.82448,0.68042,0.39464,1.0305,0.007822,0.007822,0.007822
24,11859.7,0.74211,0.45228,1.04834,0.9457,0.95659,0.97468,0.82667,0.67562,0.38965,1.02708,0.007723,0.007723,0.007723
25,12062.5,0.73668,0.45036,1.05092,0.94866,0.95276,0.9754,0.82613,0.67357,0.39418,1.02811,0.007624,0.007624,0.007624
26,12263.4,0.73497,0.44606,1.04719,0.94984,0.94963,0.97632,0.83017,0.67167,0.38798,1.02477,0.007525,0.007525,0.007525
27,12465.8,0.72711,0.44297,1.04218,0.95531,0.95034,0.97538,0.82959,0.66762,0.39509,1.02271,0.007426,0.007426,0.007426
28,12746.5,0.72576,0.44155,1.04307,0.95779,0.94866,0.97663,0.83609,0.6603,0.3782,1.01413,0.007327,0.007327,0.007327
29,12946.8,0.72185,0.43514,1.0384,0.95183,0.95248,0.97531,0.82879,0.66925,0.37671,1.01811,0.007228,0.007228,0.007228
30,13197.5,0.72201,0.43233,1.03723,0.95086,0.95248,0.97449,0.833,0.66928,0.38029,1.01577,0.007129,0.007129,0.007129
31,13480.7,0.72197,0.43456,1.03972,0.94628,0.95703,0.97572,0.83516,0.6589,0.37969,1.01364,0.00703,0.00703,0.00703
32,13688.6,0.71436,0.42976,1.03515,0.951,0.95547,0.97632,0.83451,0.65822,0.37438,1.00918,0.006931,0.006931,0.006931
33,13976.9,0.71404,0.43207,1.03499,0.95473,0.95013,0.97749,0.83524,0.65073,0.38319,1.00826,0.006832,0.006832,0.006832
34,14204.7,0.71404,0.43074,1.03581,0.95092,0.95286,0.97629,0.83891,0.64676,0.36938,1.00046,0.006733,0.006733,0.006733
35,14405.3,0.7071,0.42724,1.03389,0.94945,0.95391,0.97584,0.83758,0.64745,0.36919,1.00505,0.006634,0.006634,0.006634
36,14627.3,0.70325,0.42103,1.03213,0.95472,0.95579,0.97655,0.83489,0.65276,0.36908,1.00861,0.006535,0.006535,0.006535
37,14870.1,0.70758,0.42149,1.02865,0.95573,0.95077,0.97684,0.83931,0.64666,0.36282,1.00559,0.006436,0.006436,0.006436
38,15075.9,0.69668,0.41917,1.0275,0.95304,0.95036,0.97676,0.83878,0.6467,0.36108,1.00695,0.006337,0.006337,0.006337
39,15555.6,0.70252,0.41871,1.02705,0.95588,0.95134,0.97714,0.83856,0.64185,0.35864,0.999,0.006238,0.006238,0.006238
40,15760.6,0.69867,0.41737,1.02736,0.95238,0.95305,0.97434,0.84001,0.64736,0.36166,1.00771,0.006139,0.006139,0.006139
41,15969.8,0.69259,0.41606,1.02746,0.95362,0.95542,0.97747,0.83764,0.64408,0.36106,1.00184,0.00604,0.00604,0.00604
42,16175.6,0.69182,0.4159,1.02219,0.95019,0.95551,0.977,0.8446,0.63297,0.35693,0.99737,0.005941,0.005941,0.005941
43,16383.1,0.68987,0.41197,1.01951,0.95495,0.95513,0.97653,0.84148,0.6372,0.35703,0.99783,0.005842,0.005842,0.005842
